VH_EFFECTIVE_DT,VH_AGE,VH_RET_AGE,VH_ANN_SAL,VH_MTHLY_SS_INCOME
1/1/2017 0:00,60,80,"20,000","1,292"
1/1/2017 0:00,60,80,"40,000","1,922"
1/1/2017 0:00,60,80,"60,000","2,552"
1/1/2017 0:00,60,80,"80,000","3,017"
1/1/2017 0:00,60,80,"100,000","3,312"
1/1/2017 0:00,60,80,"120,000","3,607"
1/1/2017 0:00,60,80,"127,200","3,713"
1/1/2017 0:00,60,85,"20,000","1,321"
1/1/2017 0:00,60,85,"40,000","1,978"
1/1/2017 0:00,60,85,"60,000","2,635"
1/1/2017 0:00,60,85,"80,000","3,069"
1/1/2017 0:00,60,85,"100,000","3,377"
1/1/2017 0:00,60,85,"120,000","3,685"
1/1/2017 0:00,60,85,"127,200","3,796"
1/1/2017 0:00,65,62,"20,000",0
1/1/2017 0:00,65,62,"40,000",0
1/1/2017 0:00,65,62,"60,000",0
1/1/2017 0:00,65,62,"80,000",0
1/1/2017 0:00,65,62,"100,000",0
1/1/2017 0:00,65,62,"120,000",0
1/1/2017 0:00,65,62,"127,200",0
1/1/2017 0:00,65,65,"20,000",761
